央视,#genre#
CCTV1,http://111.59.139.82:8181/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.59.139.82:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.59.139.82:8181/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://111.59.139.82:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://111.59.139.82:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.59.139.82:8181/tsfile/live/faacts/1046_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://111.59.139.82:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://111.59.139.82:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://111.59.139.82:8181/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://111.59.139.82:8181/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://111.59.139.82:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://111.59.139.82:8181/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://111.59.139.82:8181/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://111.59.139.82:8181/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://111.59.139.82:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://111.59.139.82:8181/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://111.59.139.82:8181/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://111.59.139.82:8181/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
央视新闻回放,http://111.59.139.82:8181/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
三沙卫视,http://111.59.139.82:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视 高清,http://111.59.139.82:8181/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
